Country,Cases averted per 1000 vaccinated girls,Deaths averted per 1000 vaccinated girls,YLDs averted per 1000 vaccinated girls,YLLs averted per 1000 vaccinated girls,DALYs averted per 1000 vaccinated girls
Argentina,14,9,7,232,239
Armenia,8,6,4,126,130
Australia,5,3,2,57,60
Bahamas,16,12,9,256,264
Barbados,18,13,9,251,261
Belgium,7,3,3,67,70
Belize,21,20,13,414,427
Bhutan,11,7,5,200,205
Bolivia,22,17,12,371,382
Botswana,32,23,16,419,436
Brazil,13,8,6,180,186
Brunei,14,5,6,137,142
Bulgaria,15,8,7,184,191
Canada,5,3,3,69,72
Chile,13,9,7,170,177
Colombia,12,8,6,157,163
Cyprus,5,7,4,112,116
Denmark,9,4,4,74,78
Ecuador,21,15,11,253,264
Estonia,17,6,7,135,142
Ethiopia,12,9,6,205,211
Fiji,28,23,15,406,422
Finland,4,2,2,40,42
France,7,3,3,77,80
Gambia,33,29,18,384,401
Germany,7,3,3,72,76
Guatemala,17,12,8,236,245
Guyana,21,14,10,260,270
Honduras,13,9,6,226,232
Hungary,14,6,6,138,144
Iceland,6,4,3,116,119
Indonesia,19,14,10,291,301
Ireland,9,4,4,90,94
Israel,5,4,3,73,76
Italy,6,2,2,54,56
Jamaica,20,15,11,315,325
Japan,12,4,5,102,107
Laos,11,7,5,143,148
Latvia,15,8,7,187,194
Lithuania,16,8,7,194,201
Luxembourg,6,3,3,67,69
Malaysia,11,9,6,159,165
Malta,4,3,2,60,62
Marshall Islands,27,22,15,378,393
Mauritius,15,10,8,154,162
Mexico,12,7,6,141,146
Micronesia (Federated States of),25,19,13,382,394
Netherlands,6,2,3,49,51
New Zealand,5,3,3,71,74
North Macedonia,6,4,3,92,95
Norway,9,4,4,63,67
Panama,14,10,7,212,219
Paraguay,26,20,14,391,404
Peru,20,15,10,278,288
Philippines,14,10,7,181,189
Portugal,10,5,5,111,116
Rwanda,24,19,13,424,437
Singapore,9,7,5,126,131
Slovenia,6,4,3,80,83
Solomon Islands,27,19,13,423,436
South Africa,23,13,11,284,294
South Korea,8,4,4,74,78
Spain,5,3,2,59,61
Suriname,21,15,11,315,326
Sweden,9,4,4,66,70
Switzerland,4,2,2,39,41
Tanzania,39,29,19,570,589
Trinidad & Tobago,22,14,11,283,293
Uganda,28,23,15,492,506
United Kingdom,7,3,3,61,64
United States,6,3,3,68,70
Uruguay,10,7,5,161,166
Zambia,38,28,19,557,576
Zimbabwe,42,32,21,558,579
